# Can_master	Can_node	Module	FEB	FEB_CHAN	PixelHW_ID	PixelSW_ID	x[mm]	y[mm]
1	10	4	1	84	12	0	12.15	-161.34
1	11	5	2	37	1	57	133.65	-35.07
1	11	5	2	38	2	45	121.50	-56.12
1	11	5	2	39	3	33	133.65	-77.16
1	11	5	2	40	4	21	121.50	-98.21
1	11	5	2	41	5	56	109.35	-35.07
1	11	5	2	42	6	44	97.20	-56.12
1	11	5	2	43	7	32	109.35	-77.16
1	11	5	2	44	8	20	97.20	-98.21
1	11	5	2	45	9	43	72.90	-56.12
1	11	5	2	46	10	31	85.05	-77.16
1	11	5	2	47	11	19	72.90	-98.21
1	11	5	2	48	12	11	85.05	-119.25
1	12	6	1	85	1	105	133.65	49.10
1	12	6	1	86	2	93	121.50	28.06
1	12	6	1	87	3	81	133.65	7.01
1	12	6	1	88	4	69	121.50	-14.03
1	12	6	1	89	5	104	109.35	49.10
1	12	6	1	90	6	92	97.20	28.06
1	12	6	1	91	7	80	109.35	7.01
1	12	6	1	92	8	68	97.20	-14.03
1	12	6	1	93	9	91	72.90	28.06
1	12	6	1	94	10	79	85.05	7.01
1	12	6	1	95	11	67	72.90	-14.03
1	12	6	1	96	12	55	85.05	-35.07
